;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;protocols_per_teacher;pupils_mean;interval_mean;interval_std;interval_mean_year_diff;interval_std_year_diff;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff;satisfaction;wish_to_change
29;96;23;8;5;10;1;2;13;11.5;5.39;17.0;15.0;10.0;9.0;0.92;0.54;0.36;0.61;0.38;0.53;0.35;-0.08;0.01;-0.06;-0.18000000000000005;-0.030000000000000027;0.010000000000000009;0.07000000000000006;0.0;-0.050000000000000044;-0.019999999999999962;-0.06;0.02;;3.33;1.67
30;97;34;8;14;12;1;3;16;11.3;2.74;11.0;7.0;-3.0;-5.0;0.98;0.58;0.11;0.58;0.18;0.58;0.11;0.04;0.0;0.02;-0.040000000000000036;-0.04999999999999993;-0.05000000000000002;-0.13;-0.04000000000000001;-0.04999999999999993;-0.06000000000000001;0.05;0.0;;2.83;2.92
31;98;37;7;18;12;1;2;15;18.5;3.0;10.0;6.0;-4.0;-3.0;1.0;0.37;0.27;0.45;0.26;0.35;0.27;-0.05;0.02;-0.0;0.0;-0.19;-0.06;-0.47;-0.06999999999999998;-0.19999999999999996;-0.06;0.11;0.03;0.16999999999999998;3.3;2.7
32;99;27;16;4;7;3;6;11;4.5;6.63;20.0;26.0;15.0;28.0;0.76;0.66;0.37;0.69;0.39;0.54;0.21;-0.04;0.12;-0.11;0.14;0.13;0.020000000000000018;;;-0.020000000000000018;-0.22999999999999998;;0.2;;3.25;1.25
33;100;40;11;19;10;2;4;16;10.0;16.23;16.0;10.0;-5.0;2.0;0.81;0.5;0.37;0.48;0.38;0.53;0.36;-0.02;-0.03;0.0;0.019999999999999907;0.020000000000000018;0.030000000000000027;-0.07;0.020000000000000018;0.040000000000000036;0.010000000000000009;-0.049999999999999996;-0.009999999999999998;0.0;3.83;1.83
34;101;67;23;24;20;2;5;17;13.4;18.01;11.0;9.0;-3.0;-2.0;0.8;0.53;0.37;0.63;0.34;0.58;0.37;-0.06;-0.05;-0.04;0.010000000000000009;-0.010000000000000009;0.0;-0.050000000000000044;0.03999999999999998;-0.029999999999999916;0.010000000000000009;0.06;0.010000000000000002;;3.56;1.93
35;102;19;1;9;9;1;2;10;9.5;2.0;20.0;12.0;3.0;-3.0;1.0;0.4;0.38;0.42;0.37;0.41;0.37;0.02;-0.01;0.04;0.0;-0.06;0.0;-0.14;0.0;-0.03999999999999998;0.010000000000000009;0.049999999999999996;-0.02;0.03;2.5;3.25
36;103;25;9;10;6;2;4;9;6.2;8.08;21.0;13.0;2.0;4.0;0.9;0.5;0.36;0.59;0.34;0.51;0.34;-0.16;-0.02;-0.12;0.13;0.16000000000000003;-0.020000000000000018;0.09999999999999998;0.06;0.10000000000000003;0.02999999999999997;0.06;0.049999999999999996;;2.82;2.9
37;104;37;6;18;13;3;4;14;9.2;4.46;17.0;12.0;4.0;-3.0;0.99;0.52;0.3;0.53;0.28;0.52;0.3;-0.04;-0.01;-0.04;0.010000000000000009;0.010000000000000009;0.06999999999999995;-0.040000000000000036;0.12;0.0;0.07999999999999996;0.1;0.01;0.1;3.68;1.82
38;105;38;14;14;10;1;2;17;19.0;6.79;10.0;6.0;-1.0;-1.0;0.99;0.44;0.35;0.44;0.36;0.43;0.34;0.01;0.0;0.01;-0.020000000000000018;0.020000000000000018;0.03999999999999998;0.040000000000000036;0.03999999999999998;0.0;0.02999999999999997;-0.02;0.0;-0.01;3.69;1.5
