;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;protocols_per_teacher;pupils_mean;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
48;115;10;0;8;2;1;2;6;5.0;7.5;10.0;6.0;0.96;0.42;0.41;0.6;0.38;0.45;0.41;-0.18;-0.02;-0.16
49;116;10;0;10;0;1;2;3;5.0;7.0;12.0;10.0;1.0;0.51;0.29;0.49;0.3;0.49;0.29;0.02;0.01;0.01
50;117;24;2;6;16;2;4;11;6.0;14.5;14.0;7.0;0.92;0.5;0.36;0.59;0.36;0.52;0.35;-0.1;-0.01;-0.09
51;118;48;13;24;11;4;10;15;4.8;18.6;11.0;8.0;0.85;0.56;0.37;0.61;0.37;0.59;0.37;-0.06;-0.03;-0.01
52;119;43;9;28;6;5;10;12;4.3;17.51;20.0;18.0;0.78;0.41;0.23;0.53;0.25;0.47;0.26;-0.06;-0.04;-0.04
53;120;29;14;7;8;3;6;10;4.8;19.24;17.0;11.0;0.82;0.58;0.32;0.61;0.33;0.62;0.32;-0.04;-0.04;0.01
54;121;17;6;8;3;3;5;5;3.4;12.18;22.0;17.0;0.71;0.43;0.37;0.6;0.37;0.5;0.35;-0.13;-0.08;-0.08
55;122;23;6;14;3;2;4;11;5.8;8.09;15.0;11.0;0.98;0.52;0.36;0.54;0.35;0.53;0.36;-0.05;0.01;-0.02
56;123;24;12;12;0;2;4;9;6.0;9.75;13.0;10.0;0.97;0.49;0.37;0.54;0.38;0.49;0.37;-0.03;0.0;-0.03
57;124;32;6;11;15;2;4;11;8.0;4.62;10.0;4.0;1.0;0.41;0.29;0.41;0.27;0.41;0.29;-0.01;0.0;-0.01
58;125;28;9;11;8;2;4;13;7.0;17.61;10.0;10.0;0.92;0.52;0.35;0.57;0.38;0.54;0.35;-0.05;-0.03;-0.03
59;126;36;7;19;10;3;7;12;5.1;14.36;14.0;10.0;0.95;0.71;0.33;0.73;0.33;0.71;0.32;-0.03;-0.0;-0.04
60;127;20;4;10;6;1;2;10;10.0;3.5;8.0;8.0;1.0;0.61;0.28;0.65;0.28;0.61;0.28;-0.02;0.0;-0.02
61;128;49;11;26;12;3;6;16;8.2;7.02;9.0;5.0;0.98;0.51;0.38;0.55;0.38;0.52;0.37;-0.04;-0.0;-0.02
62;129;43;11;23;9;3;6;10;7.2;9.26;11.0;8.0;0.9;0.55;0.37;0.59;0.32;0.6;0.35;-0.06;-0.04;-0.02
63;130;16;3;9;4;2;4;7;4.0;4.19;22.0;16.0;1.0;0.46;0.31;0.5;0.31;0.46;0.31;-0.04;0.0;-0.04
64;131;12;0;4;8;1;2;4;6.0;6.0;16.0;11.0;1.0;0.42;0.35;0.56;0.38;0.41;0.35;-0.14;0.0;-0.13
65;132;12;0;6;6;1;2;7;6.0;3.0;14.0;6.0;1.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0
66;133;22;12;8;2;2;4;11;5.5;8.5;14.0;14.0;0.98;0.53;0.26;0.56;0.27;0.53;0.26;-0.04;0.0;-0.04
