;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff
271;945;130.0;4;1;2;1;1;1;4;4.0;3.0;1.75;22.0;13.0;1.0;0.54;0.31;0.61;0.32;0.54;0.31;-0.07;0.0;-0.07;;;;;;;;;;
272;946;120.0;6;2;3;1;2;1;6;22.5;3.67;2.0;14.0;9.0;0.7;0.58;0.35;0.58;0.36;0.57;0.35;0.0;0.02;-0.01;;;;;;;;;;
273;947;83.0;2;1;1;0;1;1;2;4.5;3.0;3.0;30.0;;1.0;0.33;0.47;0.5;0.5;0.33;0.47;-0.17;0.0;-0.17;;;;;;;;;;
274;949;78.0;6;2;3;1;1;1;6;4.67;3.33;2.83;14.0;7.0;1.0;0.21;0.25;0.48;0.25;0.21;0.25;-0.25;0.0;-0.25;;;;;;;;;;
275;950;79.0;5;2;2;1;1;1;5;7.0;3.8;2.0;11.0;8.0;0.96;0.57;0.32;0.63;0.3;0.61;0.32;-0.06;-0.04;-0.02;;;;;;;;;;
276;951;75.0;5;3;2;0;1;1;5;4.0;3.2;3.0;17.0;13.0;0.9;0.5;0.45;0.37;0.34;0.25;0.2;0.13;0.25;-0.12;;;;;;;;;;
277;953;106.0;7;1;4;2;1;1;7;4.0;;;10.0;7.0;1.0;0.44;0.35;0.47;0.35;0.42;0.32;-0.06;-0.01;-0.03;;;;;;;;;;
278;954;101.0;7;3;2;2;1;1;7;17.43;3.43;2.86;13.0;11.0;0.78;0.44;0.37;0.61;0.28;0.52;0.36;-0.14;-0.08;-0.07;;;;;;;;;;
279;955;68.0;5;2;1;2;1;1;5;20.6;;;10.0;3.0;0.91;0.14;0.22;0.2;0.23;0.15;0.22;-0.06;-0.0;-0.05;;;;;;;;;;
280;959;97.0;5;1;2;2;1;1;5;1.8;2.4;3.0;13.0;11.0;1.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;;;;;;;;;;
281;970;83.0;2;0;2;0;1;1;2;7.0;3.0;2.0;12.0;;1.0;0.57;0.42;0.64;0.38;0.57;0.42;-0.07;0.0;-0.07;;;;;;;;;;
