;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
109;664;1.0;4;3;1;0;1;1;4;11.25;3.5;2.75;19.0;15.0;1.0;0.55;0.33;0.54;0.33;0.55;0.33;0.0;0.0;0.0
110;665;1.0;4;0;4;0;1;1;3;11.25;3.5;2.75;17.0;18.0;1.0;0.55;0.34;0.57;0.34;0.55;0.34;-0.04;0.0;-0.04
111;667;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
112;668;1.0;4;1;3;0;1;1;4;11.0;3.75;1.25;23.0;12.0;1.0;0.45;0.4;0.5;0.39;0.45;0.4;-0.04;0.0;-0.04
113;670;105.0;8;3;3;2;1;1;8;4.5;3.62;1.33;10.0;6.0;1.0;0.36;0.25;0.37;0.27;0.36;0.25;-0.0;0.0;-0.0
114;671;105.0;8;3;3;2;1;1;8;9.0;3.75;1.67;10.0;6.0;1.0;0.5;0.41;0.47;0.41;0.5;0.41;0.03;0.0;0.03
115;676;99.0;1;1;0;0;1;1;1;7.0;;;;;0.29;;;;;;;;;
116;677;99.0;1;1;0;0;1;1;1;8.0;;;;;;;;;;;;;;
117;678;99.0;1;1;0;0;1;1;1;7.0;;;;;0.29;;;;;;;;;
118;679;99.0;2;1;0;1;1;1;2;5.0;3.5;1.5;7.0;;1.0;0.5;0.32;;;0.5;0.32;;0.0;
119;680;99.0;1;1;0;0;1;1;1;7.0;;;;;0.29;;;;;;;;;
120;681;99.0;2;1;0;1;1;1;2;10.5;3.0;1.0;7.0;;1.0;0.6;0.37;;;0.6;0.37;;0.0;
121;684;100.0;4;0;2;2;1;1;4;16.0;4.0;2.0;18.0;12.0;0.9;0.34;0.36;0.51;0.36;0.41;0.37;-0.15;-0.07;-0.08
122;685;100.0;4;0;4;0;1;1;4;15.5;3.67;1.0;19.0;8.0;0.92;0.31;0.35;0.33;0.37;0.34;0.35;-0.02;-0.02;-0.02
123;687;100.0;5;1;2;2;1;1;5;18.0;3.75;2.0;16.0;8.0;0.6;0.67;0.37;0.59;0.37;0.66;0.34;0.08;0.01;0.04
124;688;100.0;3;0;3;0;1;1;3;18.0;4.0;2.5;24.0;14.0;0.85;0.67;0.37;0.57;0.39;0.67;0.36;0.1;-0.01;0.11
125;691;106.0;6;1;2;3;1;1;6;8.33;;;12.0;8.0;1.0;0.21;0.22;0.26;0.25;0.38;0.3;-0.08;-0.12;-0.04
126;692;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
127;695;107.0;3;0;3;0;1;1;3;8.0;3.67;2.33;18.0;18.0;1.0;0.27;0.31;0.3;0.3;0.27;0.31;-0.03;0.0;-0.03
128;697;107.0;3;0;3;0;1;1;3;7.67;2.67;3.33;18.0;18.0;1.0;0.37;0.36;0.4;0.36;0.37;0.36;-0.03;0.0;-0.03
129;703;109.0;3;1;2;0;1;1;3;29.67;3.67;2.67;15.0;1.0;0.87;0.58;0.38;0.6;0.37;0.58;0.37;-0.01;-0.0;-0.01
130;704;109.0;3;1;2;0;1;1;3;30.67;3.0;2.67;15.0;1.0;0.84;0.62;0.36;0.69;0.35;0.66;0.35;-0.07;-0.04;-0.03
131;707;108.0;5;3;1;1;1;1;4;22.2;;;15.0;25.0;0.75;0.72;0.36;0.75;0.38;0.75;0.33;-0.03;-0.03;-0.02
132;708;108.0;5;3;2;0;1;1;5;23.0;;;15.0;25.0;0.66;0.51;0.32;0.49;0.29;0.42;0.33;0.02;0.05;0.02
133;710;108.0;5;1;2;2;1;1;5;26.8;;;10.0;3.0;0.68;0.52;0.38;0.63;0.37;0.58;0.38;-0.11;-0.07;-0.06
134;711;108.0;5;1;2;2;1;1;5;25.0;;;10.0;3.0;0.72;0.47;0.39;0.54;0.39;0.57;0.39;-0.08;-0.07;0.01
135;714;110.0;7;3;2;2;1;1;7;18.86;3.33;2.67;12.0;9.0;0.86;0.47;0.33;0.52;0.38;0.39;0.31;-0.05;0.0;-0.18
136;715;110.0;7;3;2;2;1;1;7;17.57;3.33;2.67;12.0;6.0;0.88;0.71;0.3;0.7;0.29;0.65;0.33;0.0;0.0;-0.05
137;717;110.0;5;1;2;2;1;1;5;22.2;3.5;4.0;16.0;9.0;0.49;0.57;0.39;0.6;0.37;0.66;0.39;-0.04;-0.09;-0.07
138;718;110.0;4;0;2;2;1;1;4;19.25;3.0;4.0;22.0;5.0;0.29;0.48;0.36;0.5;0.41;0.54;0.41;-0.03;-0.04;-0.08
139;719;132.0;6;0;3;3;1;1;6;4.0;3.5;1.5;14.0;6.0;1.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0
140;721;132.0;6;0;3;3;1;1;6;2.0;3.0;3.0;13.0;7.0;1.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0
141;725;133.0;5;4;1;0;2;1;5;2.0;4.0;1.0;13.0;15.0;1.0;0.25;0.25;0.75;0.25;0.25;0.25;-0.5;0.0;-0.5
142;726;133.0;6;2;3;1;1;1;5;10.0;4.0;1.5;15.0;16.0;1.0;0.53;0.22;0.55;0.24;0.53;0.22;-0.02;0.0;-0.02
143;728;133.0;5;3;2;0;2;1;5;9.0;4.0;2.0;10.0;10.0;1.0;0.56;0.16;0.5;0.0;0.56;0.16;0.0;0.0;0.0
144;729;133.0;6;3;2;1;1;1;3;12.0;4.0;1.0;15.0;19.0;0.93;0.61;0.37;0.52;0.39;0.61;0.37;0.09;0.0;0.09
145;732;128.0;6;0;4;2;1;1;6;8.0;3.33;3.0;6.0;3.0;1.0;0.44;0.39;0.46;0.41;0.44;0.38;-0.02;-0.0;0.01
146;733;128.0;11;1;6;4;1;1;10;8.0;3.5;2.5;7.0;8.0;0.95;0.44;0.39;0.46;0.41;0.42;0.39;-0.02;0.02;0.0
147;735;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
148;736;128.0;8;2;4;2;1;1;7;9.62;3.83;1.33;9.0;4.0;0.94;0.46;0.35;0.52;0.34;0.49;0.35;-0.06;-0.03;-0.05
149;738;128.0;8;3;4;1;1;1;8;3.0;3.0;2.0;10.0;6.0;1.0;0.5;0.41;0.64;0.38;0.5;0.41;-0.14;0.0;-0.14
150;739;128.0;8;3;4;1;1;1;8;6.38;3.0;2.0;10.0;5.0;0.99;0.56;0.39;0.64;0.37;0.57;0.38;-0.04;-0.02;-0.0
151;741;128.0;8;2;4;2;1;1;7;7.0;3.83;1.0;9.0;4.0;1.0;0.72;0.34;0.75;0.32;0.72;0.34;-0.02;0.0;-0.02
152;742;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
153;744;131.0;6;0;2;4;1;1;4;6.0;3.5;2.5;16.0;12.0;1.0;0.42;0.35;0.55;0.39;0.41;0.35;-0.14;0.0;-0.1
154;745;131.0;6;0;2;4;1;1;4;6.0;4.0;1.5;15.0;12.0;1.0;0.42;0.35;0.56;0.36;0.41;0.35;-0.14;0.0;-0.16
155;746;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
156;748;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
157;749;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
158;752;129.0;6;1;4;1;1;1;6;6.5;3.83;;14.0;7.0;0.95;0.69;0.29;0.46;0.34;0.66;0.29;0.13;0.03;0.09
159;753;129.0;6;1;4;1;1;1;6;10.17;3.5;;14.0;7.0;0.86;0.42;0.36;0.4;0.34;0.43;0.36;-0.02;-0.0;-0.04
160;755;129.0;8;2;4;2;1;1;8;11.38;3.88;2.0;10.0;9.0;0.76;0.46;0.41;0.65;0.3;0.6;0.36;-0.2;-0.15;-0.07
